spkid,a,e,i,om,w,ma,epoch,diameter,spec_B
2000391,2.319649561,0.305685877,23.20358812,212.8644871,147.0248032,211.09554,2459000.5,15.751,S
2000433,1.458045729,0.222951265,10.83054122,304.2993259,178.8822959,271.0717326,2459000.5,16.84,S
2000512,2.189676224,0.254017189,8.747939439,107.0286483,249.1877137,335.3433909,2459000.5,23.09,S
2000719,2.638602064,0.546558465,11.56748478,183.86695,156.1763377,140.2734218,2459000.5,0,S
2000985,2.299643407,0.276987821,4.057656172,290.2939683,59.53518979,15.60568361,2459000.5,0,S
2001036,2.664724624,0.533046118,26.67764119,215.5468279,132.3646325,4.817744335,2459000.5,37.675,S
2001065,2.360529471,0.297360058,8.363335161,330.3230629,353.6264467,310.543249,2459000.5,0,S
2001131,2.228866131,0.285740367,3.229923251,100.6759577,248.0601539,101.3724394,2459000.5,0,S
2001134,2.676529419,0.469738279,15.31985858,5.770188685,332.8838635,230.2323458,2459000.5,0,S
2001139,1.947174959,0.255851018,13.08602085,213.3362142,206.716333,113.3261634,2459000.5,0,S
2001204,2.263126193,0.293652321,1.879165943,7.543945219,313.6615497,39.80956466,2459000.5,0,S
2001508,2.77208601,0.41779414,28.67739063,13.99092667,93.23566484,207.3843597,2459000.5,0,C
2001593,2.224477059,0.281409102,9.980895039,120.0134032,185.3533226,251.5089485,2459000.5,6.095,S
2001620,1.245666864,0.335454802,13.33704335,337.1869753,276.9560677,235.1126414,2459000.5,2.56,S
2001627,1.863272945,0.396783058,8.451869889,133.1193428,167.7934626,256.5069001,2459000.5,9.12,S
2001640,2.289011199,0.3429393,7.108234319,355.44496,354.793321,305.1800608,2459000.5,0,S
2001685,1.367586472,0.43583711,9.383132321,274.2452382,127.2065884,290.2506511,2459000.5,3.4,S
2001865,1.079993933,0.466853121,16.09595507,212.9201787,325.2454991,3.320367864,2459000.5,1.2,S
2001866,1.89369921,0.538083305,41.19929069,63.49079971,293.0630044,104.184673,2459000.5,8.48,S
2001916,2.27308656,0.449641167,12.88010266,340.5990723,335.8670314,179.6982275,2459000.5,3.5,S
2002064,2.178626927,0.329840405,5.695804485,302.1410513,2.717226406,88.91437181,2459000.5,13.61,S
2002204,2.593451019,0.405368575,20.57716507,160.0472998,283.8635822,226.2259226,2459000.5,25.16,X
2002744,2.301760494,0.332575798,6.744000287,315.5442205,44.00313871,284.7277643,2459000.5,0,S
2003040,1.840951242,0.200134019,46.64600589,143.4918587,290.1616199,248.104831,2459000.5,3.377,S
2003102,2.151154456,0.449318191,8.441614512,172.0638477,154.742201,101.8877455,2459000.5,1.6,S
2003122,1.768974947,0.422944591,22.14249625,336.0638556,27.84781487,50.43779607,2459000.5,4.9,S
2003198,2.180260682,0.239001667,17.96510758,83.56987064,40.53293727,319.2275948,2459000.5,0,S
2003255,2.374380528,0.362334973,21.35288347,337.0447261,79.36460919,274.7642998,2459000.5,4.023,S
2003401,2.36774638,0.359548569,21.79547132,322.3560943,108.6270216,174.9406164,2459000.5,7.023,S
2003635,1.794633632,0.08463001,19.22193131,235.3467223,249.1993836,323.2232642,2459000.5,0,S
2003737,2.406965114,0.396457832,20.13345592,288.1872889,85.43647134,285.271777,2459000.5,6.968,S
2003800,1.577906029,0.075606203,14.84825672,95.44521032,115.7971574,27.74129069,2459000.5,1.624,S
2003873,1.892179136,0.133937255,23.35245924,250.044388,267.7039363,159.3290053,2459000.5,5.021,S
2004222,2.366599282,0.296173219,3.740782017,206.8150567,217.9591538,14.86398322,2459000.5,9.636,S
2004435,2.318720564,0.334107463,21.92413216,330.7677449,110.3924488,238.3061418,2459000.5,5.042,S
2004451,2.604523567,0.383663599,27.79664852,219.3571245,110.2485382,175.8119096,2459000.5,0,S
2004558,2.197599919,0.362591826,22.18633626,254.837188,94.36042307,268.4487131,2459000.5,7.326,S
2004910,2.441024454,0.32504821,4.997795819,180.0104214,155.0425613,187.3958444,2459000.5,4.326,S
2004954,2.000855358,0.449383752,17.42943968,358.4436102,52.58954693,150.9533899,2459000.5,10.8,S
2004957,1.565492771,0.218791405,35.01082611,254.9001694,97.46013766,65.36830944,2459000.5,3.499,S
2004995,2.340976878,0.311412787,20.60682929,321.9742748,88.99841702,323.1920973,2459000.5,0,S
2005038,2.311767991,0.281371363,10.92670887,65.65825909,219.5763754,155.7914007,2459000.5,3.761,S
2005131,1.486128269,0.569153935,36.43079052,110.3753217,135.8463475,207.6031725,2459000.5,0,S
2005230,2.398607638,0.374480441,20.67932027,195.2031758,266.4125331,270.415846,2459000.5,5.681,S
2005253,1.974467845,0.224613121,28.76759289,71.26544813,69.33756469,121.2443209,2459000.5,2.449,S
2005349,2.786833744,0.467842263,28.46291304,1.367084286,81.04296827,264.909986,2459000.5,0,C
