full_name,Spectral_type,diameter,sma,ecc,incl,RAAN,AOP,MA,epoch,moid
  7482 (1994 PC1),S,1.052,1.346240044,0.328238726,33.4867211,117.8854793,47.63358425,66.07736125,2458600.5,0.000166392
  7822 (1991 CS),S,1.602,1.122893541,0.164698621,37.1199433,156.8574635,249.4391246,325.4990989,2458600.5,0.022164
  7889 (1994 LX),V,1.68,1.261413273,0.346293299,36.90898365,111.2786554,349.1392268,25.9271915,2458600.5,0.154267
  8201 (1994 AH2),O,1.859,2.53724042,0.706977879,9.553656003,164.1054989,25.13314306,71.75678884,2458600.5,0.101523
  8566 (1996 EN),U,1.568,1.506377944,0.430393736,37.97291496,164.1359846,125.1203366,103.9097269,2458600.5,0.0220273
 10115 (1992 SK),S:,0.938,1.248441188,0.324824273,15.32072624,8.91822061,233.649313,111.4191743,2458600.5,0.0456965
 10165 (1995 BL2),L,0.829,1.234694871,0.503771364,23.89566894,312.4408482,348.4309414,94.90341983,2458600.5,0.37596
 11066 Sigurd (1992 CC1),K,2.778,1.391579377,0.375274131,36.87786937,349.2357428,22.00373373,314.3293011,2458600.5,0.118482
 11398 (1998 YP11),Sr,1.316,1.720810908,0.388953332,15.02466036,144.7914689,74.70344863,313.7788393,2458600.5,0.203252
 11500 Tomaiyowit (1989 UR),S,0.738,1.079645465,0.355722773,10.31051209,234.4360319,289.4439102,6.873617808,2458600.5,0.0342079
 12538 (1998 OH),S:,1.663,1.541615161,0.405942446,24.52816135,220.7465853,321.72886,7.271595381,2458600.5,0.0286685
 12923 Zephyr (1999 GK4),S:,2.06,1.961954177,0.491835241,5.303308568,168.2051673,147.0430497,54.47276138,2458600.5,0.021265
 13651 (1997 BR),S,0.562,1.335489027,0.305728131,17.24797685,116.6660065,133.8046253,65.49330674,2458600.5,0.0147416
 14402 (1991 DB),C,0.6,1.714878402,0.401902146,11.41672287,158.2343139,51.37620175,167.8902331,2458600.5,0.102802
 16064 Davidharvey (1999 RH27),C,4.106,2.849857902,0.589230406,4.539658768,335.5707688,104.8036394,353.8311004,2458600.5,0.2037
 16834 (1997 WU22),S,1.87,1.467985351,0.442168515,15.99048881,260.7974944,334.3257974,219.2078939,2458600.5,0.145955
 17274 (2000 LC16),Xk,3.183,2.734847166,0.553223807,5.568494463,305.7577095,21.30096692,53.36570991,2458600.5,0.212293
 19356 (1997 GH3),S,0.91,2.501810616,0.562797742,3.004427928,186.7028487,333.8775369,217.5175599,2458600.5,0.105203
 25330 (1999 KV4),B,3.21,1.54030757,0.370808287,14.32846712,50.60305135,85.98864909,178.1981895,2458600.5,0.172981
 35107 (1991 VH),Sk,0.908,1.137453251,0.144254454,13.91042623,139.3565098,206.9420795,275.3676536,2458600.5,0.026301
 36183 (1999 TX16),Ld,2.339,1.551242307,0.332347232,38.22366361,54.66505627,311.1933253,68.2381435,2458600.5,0.135102
 40267 (1999 GJ4),Sq,1.641,1.338678873,0.808321159,34.49021009,148.2291934,211.9308715,203.9473992,2458600.5,0.156663
 48603 (1995 BC2),X,0.844,1.917303943,0.430356547,5.024965848,328.2878361,81.75578631,80.65476103,2458600.5,0.135685
 53319 (1999 JM8),X:,7,2.725979376,0.641439177,13.83471487,133.6226757,166.7837396,150.3630311,2458600.5,0.0247197
 54686 (2001 DU8),S,1.349,1.776656889,0.341949941,33.20317153,161.7130707,265.9327557,294.9827161,2458600.5,0.433381
 55532 (2001 WG2),Sk,1.306,1.79442439,0.695688156,38.51538828,81.47575485,132.3488339,34.15772522,2458600.5,0.33788
 65679 (1989 UQ),B,0.918,0.915100584,0.264731608,1.299319043,178.2454147,14.89537421,167.2036953,2456419.5,0.0139803
 65803 Didymos (1996 GT),Xk,0.78,1.644267945,0.38402049,3.408561577,73.20707875,319.3188821,124.6176912,2458600.5,0.0397774
 66391 Moshup (1999 KW4),S:,1.317,0.642195596,0.688720227,38.88256473,244.9096147,192.6184318,68.08613724,2458600.5,0.0130854
 85774 (1998 UT18),C,0.939,1.403031195,0.328896046,13.5905933,64.66206794,50.08058334,72.50944346,2458600.5,0.0360268
 85818 (1998 XM4),S,2.028,1.656553125,0.41649523,62.71724403,235.6533316,301.2690067,101.9535099,2458600.5,0.108574
 85953 (1999 FK21),S,0.59,0.738751891,0.703125907,12.6015368,180.5316908,172.3379698,276.4826809,2455909.5,0.070643
 85989 (1999 JD6),K,1.462,0.883121074,0.632912943,17.05839858,130.1836507,309.2118641,123.0729077,2458600.5,0.048097
 86039 (1999 NC43),Q,2.22,1.759457493,0.579437313,7.124811119,311.744547,120.6356903,93.15308034,2458600.5,0.0246205
 86326 (1999 WK13),S,1.348,1.84458691,0.362443855,34.31174975,78.46392185,312.5560324,283.0709406,2458600.5,0.280091
 86819 (2000 GK137),Sq,0.802,1.995599962,0.505840816,10.06065063,164.9085561,150.2681757,233.3734376,2458600.5,0.0165887
 86829 (2000 GR146),S:,1.433,1.462894743,0.575098505,14.38385432,78.51636547,31.32819561,319.2094341,2458600.5,0.203496
 89355 (2001 VS78),S,2.038,1.78697092,0.308218105,22.66682061,103.1052348,84.94819865,59.56910385,2458600.5,0.444759
 96590 (1998 XB),S:,0.882,0.907867669,0.351178577,13.60476444,75.71189038,202.704032,39.06088006,2458600.5,0.113986
 99907 (1989 VA),Sq,1.4,0.72851673,0.594651303,28.79482842,225.619464,2.818046419,311.2167869,2454967.5,0.155294
100926 (1998 MQ),S,1.174,1.782854096,0.40761118,24.24346688,221.1140255,138.7704148,221.5873034,2458600.5,0.129454
137062 (1998 WM),Sq,1.265,1.224612117,0.315339763,22.51538704,45.64509789,172.5409939,256.205984,2458600.5,0.168562
137805 (1999 YK5),X,3.879,0.829394501,0.558307872,16.74650284,349.5618824,292.8390988,0.814150867,2458600.5,0.114081
152679 (1998 KU2),Cb,4.692,2.251530091,0.552542529,4.926743158,205.7671086,120.2433293,38.73997657,2458600.5,0.0600285
152931 (2000 EA107),Q,1.646,0.929758382,0.455725943,28.57903644,52.89694017,278.0103559,298.5015614,2458600.5,0.161775
152978 (2000 GJ147),S:,0.531,1.162147716,0.236661605,25.00720538,57.87141244,240.7963265,0.754728335,2458600.5,0.0256529
153201 (2000 WO107),X,0.51,0.911535176,0.780684188,7.770972173,69.25502084,213.7115871,113.4465044,2458600.5,0.00307529
162998 (2001 SK162),T,0.875,1.926055869,0.474403801,1.681001867,285.3750983,186.3793813,163.8219765,2458600.5,0.0293707
175706 (1996 FG3),C,1.196,1.053846743,0.349682609,1.99112947,299.6860716,24.05205753,11.2613062,2458600.5,0.0283416
194268 (2001 UY4),X,1.244,1.452897251,0.787527011,5.436833703,160.7808806,107.7174284,28.77301226,2458600.5,0.0261373
219071 (1997 US9),Q,0.657,1.052749734,0.282040729,20.0180909,212.2158759,357.3783874,152.4937861,2458600.5,0.249018
350513 (2000 BG19),X,1.77,2.657805072,0.561094547,12.57236988,147.5592086,79.62053777,127.8262808,2458600.5,0.277888
380188 (2000 WC67),X,1.312,2.692196322,0.573637769,9.998968026,251.7592274,249.3565025,42.12343281,2458600.5,0.232789
399433 (2001 YK4),X:,1.339,2.656465696,0.776397535,4.376209298,155.6876405,210.8255451,17.30006502,2458600.5,0.064345
401857 (2000 PG3),D,4.2,2.823572846,0.855680475,22.01477605,323.6225586,141.1523793,310.0994728,2458600.5,0.210137
413038 (2001 MF1),Sk,1.237,2.650707733,0.576607287,23.97324905,288.6363843,76.54984576,27.3670392,2458600.5,0.34243
       (2002 BM26),X,0.84,1.832546036,0.444147839,16.21114952,319.6359569,180.4450158,335.7655204,2458600.5,0.0324616
